data	data	380176	300320	1.25487e+06	1.49384e+06	485708	319204	230324	204324	281412	172876	351444	132308	139044	123460	473288	647068	384464	457300	527212	565548	142404	524896	480488	586064	404096	448588	225584	151572	224716	190228	29036	23276	443612	272800	475064	558724	263060	307408	580184	497348	831016	930596	625464	650476	255716	458632	636824	768836	462172	658172	849884	752564	532852	507376	511968	154936	168764	56724	743004	814080	371540	419364	550712	500844	298608	226728	109660	136116	155208	189708	1.00763e+06	882008	223240	133052	902292	1.01514e+06	1.05968e+06	983084	270736	401104	1.17644e+06	1.12693e+06	60300	47924	267036	306388	465512	535052	670760	399820	389288	464840	500208	296044	498108	547628	260376	421228	275620	227076	701292	433744	805824	883672	243980	41528	361600	363452	203568	228104	163576	262048	304944	215156	427808	407708	424656	189264	159032	265896	
data	data	AAL2_2001	AAL2_2002	AAL2_2101	AAL2_2102	AAL2_2201	AAL2_2202	AAL2_2301	AAL2_2302	AAL2_2311	AAL2_2312	AAL2_2321	AAL2_2322	AAL2_2331	AAL2_2332	AAL2_2401	AAL2_2402	AAL2_2501	AAL2_2502	AAL2_2601	AAL2_2602	AAL2_2611	AAL2_2612	AAL2_2701	AAL2_2702	AAL2_2801	AAL2_2802	AAL2_2811	AAL2_2812	AAL2_2821	AAL2_2822	AAL2_2831	AAL2_2832	AAL2_3001	AAL2_3002	AAL2_4001	AAL2_4002	AAL2_4011	AAL2_4012	AAL2_4021	AAL2_4022	AAL2_4101	AAL2_4102	AAL2_4111	AAL2_4112	AAL2_4201	AAL2_4202	AAL2_5001	AAL2_5002	AAL2_5011	AAL2_5012	AAL2_5021	AAL2_5022	AAL2_5101	AAL2_5102	AAL2_5201	AAL2_5202	AAL2_5301	AAL2_5302	AAL2_5401	AAL2_5402	AAL2_6001	AAL2_6002	AAL2_6101	AAL2_6102	AAL2_6201	AAL2_6202	AAL2_6211	AAL2_6212	AAL2_6221	AAL2_6222	AAL2_6301	AAL2_6302	AAL2_6401	AAL2_6402	AAL2_7001	AAL2_7002	AAL2_7011	AAL2_7012	AAL2_7021	AAL2_7022	AAL2_7101	AAL2_7102	AAL2_8101	AAL2_8102	AAL2_8111	AAL2_8112	AAL2_8121	AAL2_8122	AAL2_8201	AAL2_8202	AAL2_8211	AAL2_8212	AAL2_8301	AAL2_8302	AAL2_9001	AAL2_9002	AAL2_9011	AAL2_9012	AAL2_9021	AAL2_9022	AAL2_9031	AAL2_9032	AAL2_9041	AAL2_9042	AAL2_9051	AAL2_9052	AAL2_9061	AAL2_9062	AAL2_9071	AAL2_9072	AAL2_9081	AAL2_9082	AAL2_9100	AAL2_9110	AAL2_9120	AAL2_9130	AAL2_9140	AAL2_9150	AAL2_9160	AAL2_9170	
281412	AAL2_2311	3512	42	24096	5120	20060	1862	21256	236	0	50	9858	14	356	12	5904	2770	80	120	7800	1674	22	144	80	102	60	96	28	28	252	40	32	0	9954	48	730	1976	72	360	40	22	136	294	92	104	42	224	182	80	322	40	256	72	592	56	512	6	140	0	118	50	256	64	334	82	128	24	20	0	6	14	258	84	14	24	1210	1968	3700	854	168	244	1218	2016	182	16	320	4	1780	174	742	30	76	200	534	24	42	26	22	18	58	86	56	18	54	48	12	2	76	62	126	162	24	10	264	88	16	16	18	50	104	254	
172876	AAL2_2312	8	3284	84	17628	20	16058	14	16910	50	0	8	6024	0	310	26	3194	22	24	70	4458	2	28	20	76	12	86	4	18	6	230	0	66	24	3748	12	30	0	6	34	26	50	178	20	46	22	152	70	368	14	386	26	178	20	382	6	8	4	0	12	72	2	774	20	450	2	304	0	642	0	70	40	28	6	4	192	1492	150	4020	48	492	276	142	0	54	2	562	22	538	12	750	18	38	16	318	10	8	4	8	22	30	12	6	8	8	0	0	12	6	14	28	2	6	50	24	6	0	0	6	10	40	
351444	AAL2_2321	796	12	17598	1426	12600	122	778	26	9858	8	0	8	1126	12	2420	624	158	130	734	434	46	110	1242	180	4574	134	10374	22	8128	16	2388	2	18386	8	134	364	36	44	152	84	1958	992	1676	454	304	150	3442	314	1806	152	10382	214	2348	50	4448	0	1876	2	2066	336	798	22	446	44	228	6	76	0	14	2	486	470	18	14	1692	706	23038	288	608	116	826	762	494	2	2406	38	7544	136	2300	74	1540	234	1130	10	18	22	16	16	46	40	96	26	72	34	8	0	48	28	42	28	14	8	94	40	34	12	24	18	36	70	
132308	AAL2_2322	0	248	20	3652	0	3934	2	808	14	6024	8	0	0	340	10	480	22	132	6	538	0	254	24	1202	12	1540	4	2200	6	5378	0	2544	8	7112	6	18	2	6	8	6	48	214	18	238	6	308	200	1732	6	1650	22	734	2	1666	14	52	6	26	8	510	0	772	8	514	6	198	0	214	0	90	16	42	2	4	120	2058	40	8384	10	674	200	88	0	110	2	1408	10	5134	8	1070	12	254	10	422	12	6	10	8	12	26	16	6	12	10	4	0	8	12	0	20	4	6	26	12	6	2	4	2	4	18	
139044	AAL2_2331	7816	6	3162	218	476	12	7416	2	356	0	1126	0	0	0	2060	60	24	30	142	74	2	18	60	14	56	2	16	0	552	4	8	0	8588	0	32	80	0	6	4	0	22	4	16	4	48	16	32	2	74	0	100	4	126	0	228	0	64	0	44	0	7554	4	666	2	2092	0	3468	0	8	0	138	0	4	2	50	68	3774	14	498	16	60	62	3918	0	8370	0	3084	12	1646	0	128	12	544	0	12	4	10	8	2	2	6	0	12	2	4	0	6	8	4	0	2	0	14	6	2	0	8	0	4	6	
123460	AAL2_2332	0	1106	18	2274	4	214	6	6922	12	310	12	340	0	0	10	1586	8	26	4	210	0	14	14	90	8	126	12	66	0	282	2	48	6	7584	8	4	2	0	8	2	34	42	12	50	12	72	14	82	0	92	16	20	0	78	2	0	0	0	4	10	2	5982	12	2238	0	2326	0	8116	0	94	22	32	4	0	140	210	66	4494	24	110	316	50	2	2182	0	10102	10	2078	14	922	12	50	14	82	2	6	2	4	4	4	8	2	0	8	2	0	12	4	6	16	0	4	22	6	6	2	4	4	8	10	
473288	AAL2_2401	9570	224	57566	14776	1976	226	11790	90	5904	26	2420	10	2060	10	0	20632	146	156	2926	2272	30	128	190	150	130	106	40	16	604	40	4	2	5588	28	5584	4602	7506	4508	546	448	424	402	242	198	112	222	354	110	174	78	486	248	206	72	160	0	42	0	172	130	178	202	260	180	30	4	4	0	2	6	1880	866	8498	230	3952	2496	13362	796	1760	414	15924	5354	32	2	188	2	1104	120	382	6	248	158	260	16	592	368	416	340	618	588	428	156	598	578	172	2	544	306	470	552	106	62	1276	482	192	128	404	208	344	936	
647068	AAL2_2402	1212	4892	12034	71162	972	1872	2856	9348	2770	3194	624	480	60	1586	20632	0	192	202	3034	9996	30	150	198	216	162	152	62	70	194	160	0	66	1646	1692	7638	8042	6952	15840	592	1492	650	570	458	440	162	330	262	158	114	152	428	790	130	124	80	8	14	2	276	358	370	4326	590	462	22	296	8	292	0	114	3022	2508	8182	13022	3440	8386	3620	10108	1062	3664	4764	26848	26	28	22	252	468	498	258	668	202	296	236	242	1280	574	612	410	1016	1960	1680	402	1608	1388	338	2	852	860	616	788	188	120	3602	1692	520	490	868	988	1514	2886	
384464	AAL2_2501	64	50	1956	6920	418	82	8	54	80	22	158	22	24	8	146	192	0	14518	4264	5350	7008	13312	18550	7984	9796	1852	706	144	3768	168	14	12	1978	54	14930	10104	1746	1272	328	398	2618	1162	3830	722	3890	616	864	324	854	186	1942	332	976	90	1274	0	452	0	2078	238	88	30	200	66	74	4	2	2	2	12	554	616	50	18	15500	2764	2730	676	300	214	2006	880	28	2	116	8	3850	436	2390	26	3872	416	1116	20	74	26	46	28	164	64	180	62	76	60	42	0	160	62	130	48	34	22	272	134	104	14	30	78	120	226	
457300	AAL2_2502	128	66	1728	8082	414	142	8	56	120	24	130	132	30	26	156	202	14518	0	4166	8014	3818	22534	15340	23958	8452	6946	612	398	1002	2892	2	10	876	1102	8432	14812	1024	2162	260	688	1172	4262	1168	6248	1504	4266	412	562	422	324	990	838	606	220	928	2	414	2	1446	610	126	94	234	144	36	8	2	4	2	12	568	1054	78	36	10996	13268	1460	1714	386	560	1616	2376	32	4	124	24	1600	4406	868	38	1564	1828	424	42	86	52	50	44	202	166	168	80	98	92	42	2	224	104	194	74	56	26	370	184	112	18	48	110	154	308	
