label,x,y,z
254.0,97.81168831168831,85.44805194805195,85.72077922077922
255.0,69.88071065989848,90.04314720812182,74.43908629441624
256.0,61.776785714285715,97.125,63.964285714285715
257.0,69.52008032128514,116.8855421686747,53.32730923694779
258.0,60.66030534351145,110.03435114503817,56.06488549618321
259.0,125.2218045112782,110.8609022556391,55.39473684210526
260.0,115.40697674418605,117.02713178294573,54.151162790697676
261.0,114.24619289340102,91.2005076142132,74.31725888324873
262.0,121.79777777777778,98.5,63.495555555555555
263.0,68.31147540983606,115.72131147540983,43.30327868852459
264.0,72.88805970149254,127.25373134328358,45.35820895522388
265.0,67.58264462809917,101.39256198347107,52.02066115702479
266.0,66.66071428571429,88.96428571428571,63.205357142857146
267.0,115.40845070422536,115.61267605633803,45.36619718309859
268.0,113.25,129.88513513513513,44.351351351351354
269.0,115.87546468401487,90.135687732342,62.566914498141266
270.0,118.18197879858657,103.24911660777386,51.63780918727915
271.0,66.99090909090908,124.55454545454545,54.04545454545455
272.0,117.55645161290323,125.9274193548387,53.693548387096776
273.0,87.66197183098592,35.41549295774648,64.66901408450704
274.0,83.79903536977491,26.55144694533762,68.46784565916398
275.0,90.21317829457364,32.616279069767444,79.47674418604652
276.0,86.51980198019803,41.35808580858086,77.72112211221122
277.0,86.94816053511705,56.72742474916388,87.14214046822742
278.0,78.16906474820144,51.34892086330935,82.6726618705036
279.0,78.92570281124497,70.8293172690763,80.02610441767068
280.0,71.10144927536231,62.55797101449275,81.70289855072464
281.0,98.45275590551181,62.63385826771653,86.06692913385827
282.0,106.51556420233463,56.11089494163424,83.82295719844358
283.0,112.00204081632653,72.79387755102042,81.23469387755102
284.0,115.20386266094421,62.26824034334764,81.19527896995709
285.0,107.26190476190476,45.002164502164504,82.5
286.0,98.70661157024793,45.29338842975206,80.08677685950413
287.0,109.12311557788945,28.902010050251256,71.40452261306532
288.0,103.06,35.43,74.87
289.0,86.11340206185567,39.08247422680412,103.47938144329896
290.0,86.74038461538461,35.66826923076923,91.01442307692308
291.0,83.74528301886792,49.09905660377358,102.50943396226415
292.0,79.03020134228188,60.285234899328856,95.93624161073825
293.0,103.71549636803874,45.6138014527845,110.49515738498789
294.0,105.30481927710844,57.049397590361444,99.07831325301204
295.0,104.84710743801652,32.47520661157025,85.45867768595042
296.0,100.97457627118644,42.38135593220339,96.17231638418079
297.0,82.53137254901961,62.55490196078431,73.46470588235294
298.0,70.9914675767918,63.708191126279864,67.0938566552901
299.0,77.7991452991453,83.73076923076923,68.71367521367522
300.0,68.98872180451127,75.35714285714286,66.72556390977444
301.0,66.02252252252252,40.2027027027027,58.1036036036036
302.0,77.04761904761905,35.12698412698413,58.77777777777778
303.0,85.4448275862069,48.858620689655176,70.52758620689656
304.0,74.96643109540636,51.390459363957596,66.84628975265018
305.0,109.17961165048544,52.83009708737864,67.12135922330097
306.0,98.91230769230769,48.752307692307696,67.28769230769231
307.0,106.48571428571428,34.92857142857143,62.8
308.0,116.46595744680852,38.363829787234046,59.50425531914894
309.0,102.57792207792208,87.7987012987013,68.95021645021644
310.0,109.93571428571428,76.78571428571429,68.37142857142857
311.0,111.13608562691131,65.42354740061162,68.54892966360856
312.0,99.80990415335464,64.16773162939297,73.77156549520767
313.0,70.328418230563,53.00402144772118,102.0656836461126
314.0,74.01530612244898,41.16836734693877,111.56632653061224
315.0,73.078073089701,35.915282392026576,95.98837209302326
316.0,78.3,30.453333333333333,83.4
317.0,113.18329177057356,40.30548628428928,98.59476309226933
318.0,111.7358803986711,32.09468438538206,87.3172757475083
319.0,115.454802259887,57.25141242937853,106.78813559322033
320.0,117.21708683473389,46.20868347338936,112.5280112044818
321.0,58.369281045751634,45.66339869281046,103.92919389978213
322.0,60.625,58.994565217391305,105.82065217391305
323.0,54.06010230179028,45.630434782608695,93.64066496163683
324.0,49.04857142857143,54.62,85.94571428571429
325.0,47.99318801089918,50.86512261580381,74.03678474114442
326.0,55.002262443438916,41.10633484162896,77.9027149321267
327.0,64.87241379310345,35.672413793103445,84.5367816091954
328.0,69.27292576419214,29.395196506550217,73.4650655021834
329.0,134.79787234042553,55.759574468085106,100.07446808510639
330.0,130.4609375,49.765625,93.2734375
331.0,123.87164750957854,53.88697318007663,105.54980842911877
332.0,125.28350515463917,43.18041237113402,101.70274914089347
333.0,133.6860465116279,47.445736434108525,75.79457364341086
334.0,130.36234817813767,45.082995951417004,84.5080971659919
335.0,122.27186311787072,38.43155893536122,87.33650190114068
336.0,122.13066202090593,33.15505226480836,76.91114982578397
337.0,58.856521739130436,42.83913043478261,64.7
338.0,68.45121951219512,32.109756097560975,63.71951219512195
339.0,42.41056910569106,58.483739837398375,60.34552845528455
340.0,49.33846153846154,51.30769230769231,64.65384615384616
341.0,133.3235294117647,56.94117647058823,60.009803921568626
342.0,133.22240802675586,46.65384615384615,64.03177257525084
343.0,126.74150943396226,38.967924528301886,63.99433962264151
344.0,119.18778280542986,31.40497737556561,65.44117647058823
345.0,66.37124463519314,126.76609442060087,30.22532188841202
346.0,58.80483271375465,114.7453531598513,39.13197026022305
347.0,60.68705035971223,90.68705035971223,52.02517985611511
348.0,56.82231404958678,101.87190082644628,47.078512396694215
349.0,62.292857142857144,49.49285714285714,59.34285714285714
350.0,55.682724252491695,60.98504983388705,58.33388704318937
351.0,62.747887323943665,78.82112676056337,58.73661971830986
352.0,51.59659090909091,74.16477272727273,54.30113636363637
353.0,124.49378881987577,92.02173913043478,51.32608695652174
354.0,131.24025974025975,101.14285714285714,45.98051948051948
355.0,126.83098591549296,115.90845070422536,37.53521126760563
356.0,118.06666666666666,129.86666666666667,29.933333333333334
357.0,118.36046511627907,50.5265780730897,62.38704318936877
358.0,124.24480712166172,61.6513353115727,58.28041543026706
359.0,119.43297587131367,79.44906166219839,59.51340482573727
360.0,129.52549575070822,75.97308781869688,54.3413597733711
361.0,57.915637860082306,90.26131687242798,139.24074074074073
362.0,66.21653543307086,88.06692913385827,132.18503937007873
