"Schaefer2018_300Parcels_7Networks_order_FSLMNI152_1mm","Schaefer7_300"
"region","label"
247,"7Networks_RH_Limbic_TempPole_6"
248,"7Networks_RH_Cont_Par_1"
249,"7Networks_RH_Cont_Par_2"
250,"7Networks_RH_Cont_Par_3"
251,"7Networks_RH_Cont_Temp_1"
252,"7Networks_RH_Cont_PFCv_1"
253,"7Networks_RH_Cont_PFCl_1"
254,"7Networks_RH_Cont_PFCl_2"
255,"7Networks_RH_Cont_PFCl_3"
256,"7Networks_RH_Cont_PFCl_4"
257,"7Networks_RH_Cont_PFCl_5"
258,"7Networks_RH_Cont_PFCl_6"
259,"7Networks_RH_Cont_PFCl_7"
260,"7Networks_RH_Cont_PFCl_8"
261,"7Networks_RH_Cont_PFCl_9"
262,"7Networks_RH_Cont_PFCl_10"
263,"7Networks_RH_Cont_PFCl_11"
264,"7Networks_RH_Cont_PFCl_12"
265,"7Networks_RH_Cont_pCun_1"
266,"7Networks_RH_Cont_pCun_2"
267,"7Networks_RH_Cont_Cing_1"
268,"7Networks_RH_Cont_Cing_2"
269,"7Networks_RH_Cont_PFCmp_1"
270,"7Networks_RH_Cont_PFCmp_2"
271,"7Networks_RH_Default_Par_1"
272,"7Networks_RH_Default_Par_2"
273,"7Networks_RH_Default_Par_3"
274,"7Networks_RH_Default_Par_4"
275,"7Networks_RH_Default_Par_5"
276,"7Networks_RH_Default_Temp_1"
277,"7Networks_RH_Default_Temp_2"
278,"7Networks_RH_Default_Temp_3"
279,"7Networks_RH_Default_Temp_4"
280,"7Networks_RH_Default_Temp_5"
281,"7Networks_RH_Default_Temp_6"
282,"7Networks_RH_Default_PFCv_1"
283,"7Networks_RH_Default_PFCv_2"
284,"7Networks_RH_Default_PFCv_3"
285,"7Networks_RH_Default_PFCdPFCm_1"
286,"7Networks_RH_Default_PFCdPFCm_2"
287,"7Networks_RH_Default_PFCdPFCm_3"
288,"7Networks_RH_Default_PFCdPFCm_4"
289,"7Networks_RH_Default_PFCdPFCm_5"
290,"7Networks_RH_Default_PFCdPFCm_6"
291,"7Networks_RH_Default_PFCdPFCm_7"
292,"7Networks_RH_Default_PFCdPFCm_8"
293,"7Networks_RH_Default_PFCdPFCm_9"
294,"7Networks_RH_Default_PFCdPFCm_10"
295,"7Networks_RH_Default_pCunPCC_1"
296,"7Networks_RH_Default_pCunPCC_2"
297,"7Networks_RH_Default_pCunPCC_3"
298,"7Networks_RH_Default_pCunPCC_4"
299,"7Networks_RH_Default_pCunPCC_5"
300,"7Networks_RH_Default_pCunPCC_6"
