aseg,From Freesurfer aseg atlas. Taken from FreeSurferColorLUT.txt file
region,label
11105,ctx_lh_G_and_S_transv_frontopol
11106,ctx_lh_G_and_S_cingul-Ant
11107,ctx_lh_G_and_S_cingul-Mid-Ant
11108,ctx_lh_G_and_S_cingul-Mid-Post
11109,ctx_lh_G_cingul-Post-dorsal
11110,ctx_lh_G_cingul-Post-ventral
11111,ctx_lh_G_cuneus
11112,ctx_lh_G_front_inf-Opercular
11113,ctx_lh_G_front_inf-Orbital
11114,ctx_lh_G_front_inf-Triangul
11115,ctx_lh_G_front_middle
11116,ctx_lh_G_front_sup
11117,ctx_lh_G_Ins_lg_and_S_cent_ins
11118,ctx_lh_G_insular_short
11119,ctx_lh_G_occipital_middle
11120,ctx_lh_G_occipital_sup
11121,ctx_lh_G_oc-temp_lat-fusifor
11122,ctx_lh_G_oc-temp_med-Lingual
11123,ctx_lh_G_oc-temp_med-Parahip
11124,ctx_lh_G_orbital
11125,ctx_lh_G_pariet_inf-Angular
11126,ctx_lh_G_pariet_inf-Supramar
11127,ctx_lh_G_parietal_sup
11128,ctx_lh_G_postcentral
11129,ctx_lh_G_precentral
11130,ctx_lh_G_precuneus
11131,ctx_lh_G_rectus
11132,ctx_lh_G_subcallosal
11133,ctx_lh_G_temp_sup-G_T_transv
11134,ctx_lh_G_temp_sup-Lateral
11135,ctx_lh_G_temp_sup-Plan_polar
11136,ctx_lh_G_temp_sup-Plan_tempo
11137,ctx_lh_G_temporal_inf
11138,ctx_lh_G_temporal_middle
11139,ctx_lh_Lat_Fis-ant-Horizont
11140,ctx_lh_Lat_Fis-ant-Vertical
11141,ctx_lh_Lat_Fis-post
11142,ctx_lh_Medial_wall
11143,ctx_lh_Pole_occipital
11144,ctx_lh_Pole_temporal
11145,ctx_lh_S_calcarine
11146,ctx_lh_S_central
11147,ctx_lh_S_cingul-Marginalis
11148,ctx_lh_S_circular_insula_ant
11149,ctx_lh_S_circular_insula_inf
11150,ctx_lh_S_circular_insula_sup
11151,ctx_lh_S_collat_transv_ant
11152,ctx_lh_S_collat_transv_post
11153,ctx_lh_S_front_inf
11154,ctx_lh_S_front_middle
11155,ctx_lh_S_front_sup
11156,ctx_lh_S_interm_prim-Jensen
11157,ctx_lh_S_intrapariet_and_P_trans
11158,ctx_lh_S_oc_middle_and_Lunatus
11159,ctx_lh_S_oc_sup_and_transversal
11160,ctx_lh_S_occipital_ant
11161,ctx_lh_S_oc-temp_lat
11162,ctx_lh_S_oc-temp_med_and_Lingual
11163,ctx_lh_S_orbital_lateral
11164,ctx_lh_S_orbital_med-olfact
11165,ctx_lh_S_orbital-H_Shaped
11166,ctx_lh_S_parieto_occipital
11167,ctx_lh_S_pericallosal
11168,ctx_lh_S_postcentral
11169,ctx_lh_S_precentral-inf-part
11170,ctx_lh_S_precentral-sup-part
11171,ctx_lh_S_suborbital
11172,ctx_lh_S_subparietal
11173,ctx_lh_S_temporal_inf
11174,ctx_lh_S_temporal_sup
11175,ctx_lh_S_temporal_transverse
12100,ctx_rh_Unknown
12101,ctx_rh_G_and_S_frontomargin
12102,ctx_rh_G_and_S_occipital_inf
12103,ctx_rh_G_and_S_paracentral
12104,ctx_rh_G_and_S_subcentral
12105,ctx_rh_G_and_S_transv_frontopol
12106,ctx_rh_G_and_S_cingul-Ant
12107,ctx_rh_G_and_S_cingul-Mid-Ant
12108,ctx_rh_G_and_S_cingul-Mid-Post
12109,ctx_rh_G_cingul-Post-dorsal
12110,ctx_rh_G_cingul-Post-ventral
12111,ctx_rh_G_cuneus
12112,ctx_rh_G_front_inf-Opercular
12113,ctx_rh_G_front_inf-Orbital
12114,ctx_rh_G_front_inf-Triangul
12115,ctx_rh_G_front_middle
12116,ctx_rh_G_front_sup
12117,ctx_rh_G_Ins_lg_and_S_cent_ins
12118,ctx_rh_G_insular_short
12119,ctx_rh_G_occipital_middle
12120,ctx_rh_G_occipital_sup
12121,ctx_rh_G_oc-temp_lat-fusifor
12122,ctx_rh_G_oc-temp_med-Lingual
12123,ctx_rh_G_oc-temp_med-Parahip
12124,ctx_rh_G_orbital
12125,ctx_rh_G_pariet_inf-Angular
12126,ctx_rh_G_pariet_inf-Supramar
12127,ctx_rh_G_parietal_sup
12128,ctx_rh_G_postcentral
12129,ctx_rh_G_precentral
12130,ctx_rh_G_precuneus
12131,ctx_rh_G_rectus
12132,ctx_rh_G_subcallosal
12133,ctx_rh_G_temp_sup-G_T_transv
12134,ctx_rh_G_temp_sup-Lateral
12135,ctx_rh_G_temp_sup-Plan_polar
12136,ctx_rh_G_temp_sup-Plan_tempo
12137,ctx_rh_G_temporal_inf
12138,ctx_rh_G_temporal_middle
12139,ctx_rh_Lat_Fis-ant-Horizont
12140,ctx_rh_Lat_Fis-ant-Vertical
12141,ctx_rh_Lat_Fis-post
12142,ctx_rh_Medial_wall
12143,ctx_rh_Pole_occipital
12144,ctx_rh_Pole_temporal
12145,ctx_rh_S_calcarine
12146,ctx_rh_S_central
12147,ctx_rh_S_cingul-Marginalis
12148,ctx_rh_S_circular_insula_ant
12149,ctx_rh_S_circular_insula_inf
12150,ctx_rh_S_circular_insula_sup
12151,ctx_rh_S_collat_transv_ant
12152,ctx_rh_S_collat_transv_post
12153,ctx_rh_S_front_inf
12154,ctx_rh_S_front_middle
12155,ctx_rh_S_front_sup
12156,ctx_rh_S_interm_prim-Jensen
12157,ctx_rh_S_intrapariet_and_P_trans
12158,ctx_rh_S_oc_middle_and_Lunatus
12159,ctx_rh_S_oc_sup_and_transversal
12160,ctx_rh_S_occipital_ant
12161,ctx_rh_S_oc-temp_lat
12162,ctx_rh_S_oc-temp_med_and_Lingual
12163,ctx_rh_S_orbital_lateral
12164,ctx_rh_S_orbital_med-olfact
12165,ctx_rh_S_orbital-H_Shaped
12166,ctx_rh_S_parieto_occipital
12167,ctx_rh_S_pericallosal
12168,ctx_rh_S_postcentral
12169,ctx_rh_S_precentral-inf-part
12170,ctx_rh_S_precentral-sup-part
12171,ctx_rh_S_suborbital
12172,ctx_rh_S_subparietal
12173,ctx_rh_S_temporal_inf
12174,ctx_rh_S_temporal_sup
12175,ctx_rh_S_temporal_transverse
13100,wm_lh_Unknown
13101,wm_lh_G_and_S_frontomargin
13102,wm_lh_G_and_S_occipital_inf
13103,wm_lh_G_and_S_paracentral
13104,wm_lh_G_and_S_subcentral
13105,wm_lh_G_and_S_transv_frontopol
13106,wm_lh_G_and_S_cingul-Ant
13107,wm_lh_G_and_S_cingul-Mid-Ant
13108,wm_lh_G_and_S_cingul-Mid-Post
13109,wm_lh_G_cingul-Post-dorsal
13110,wm_lh_G_cingul-Post-ventral
13111,wm_lh_G_cuneus
13112,wm_lh_G_front_inf-Opercular
13113,wm_lh_G_front_inf-Orbital
13114,wm_lh_G_front_inf-Triangul
13115,wm_lh_G_front_middle
13116,wm_lh_G_front_sup
13117,wm_lh_G_Ins_lg_and_S_cent_ins
13118,wm_lh_G_insular_short
13119,wm_lh_G_occipital_middle
13120,wm_lh_G_occipital_sup
13121,wm_lh_G_oc-temp_lat-fusifor
13122,wm_lh_G_oc-temp_med-Lingual
13123,wm_lh_G_oc-temp_med-Parahip
13124,wm_lh_G_orbital
13125,wm_lh_G_pariet_inf-Angular
13126,wm_lh_G_pariet_inf-Supramar
13127,wm_lh_G_parietal_sup
13128,wm_lh_G_postcentral
13129,wm_lh_G_precentral
13130,wm_lh_G_precuneus
13131,wm_lh_G_rectus
13132,wm_lh_G_subcallosal
13133,wm_lh_G_temp_sup-G_T_transv
13134,wm_lh_G_temp_sup-Lateral
13135,wm_lh_G_temp_sup-Plan_polar
13136,wm_lh_G_temp_sup-Plan_tempo
13137,wm_lh_G_temporal_inf
13138,wm_lh_G_temporal_middle
13139,wm_lh_Lat_Fis-ant-Horizont
13140,wm_lh_Lat_Fis-ant-Vertical
13141,wm_lh_Lat_Fis-post
13142,wm_lh_Medial_wall
13143,wm_lh_Pole_occipital
13144,wm_lh_Pole_temporal
13145,wm_lh_S_calcarine
13146,wm_lh_S_central
13147,wm_lh_S_cingul-Marginalis
13148,wm_lh_S_circular_insula_ant
13149,wm_lh_S_circular_insula_inf
13150,wm_lh_S_circular_insula_sup
13151,wm_lh_S_collat_transv_ant
13152,wm_lh_S_collat_transv_post
13153,wm_lh_S_front_inf
13154,wm_lh_S_front_middle
13155,wm_lh_S_front_sup
13156,wm_lh_S_interm_prim-Jensen
13157,wm_lh_S_intrapariet_and_P_trans
13158,wm_lh_S_oc_middle_and_Lunatus
13159,wm_lh_S_oc_sup_and_transversal
13160,wm_lh_S_occipital_ant
13161,wm_lh_S_oc-temp_lat
13162,wm_lh_S_oc-temp_med_and_Lingual
13163,wm_lh_S_orbital_lateral
13164,wm_lh_S_orbital_med-olfact
13165,wm_lh_S_orbital-H_Shaped
13166,wm_lh_S_parieto_occipital
13167,wm_lh_S_pericallosal
13168,wm_lh_S_postcentral
13169,wm_lh_S_precentral-inf-part
13170,wm_lh_S_precentral-sup-part
13171,wm_lh_S_suborbital
13172,wm_lh_S_subparietal
13173,wm_lh_S_temporal_inf
13174,wm_lh_S_temporal_sup
13175,wm_lh_S_temporal_transverse
14100,wm_rh_Unknown
14101,wm_rh_G_and_S_frontomargin
14102,wm_rh_G_and_S_occipital_inf
14103,wm_rh_G_and_S_paracentral
14104,wm_rh_G_and_S_subcentral
14105,wm_rh_G_and_S_transv_frontopol
14106,wm_rh_G_and_S_cingul-Ant
14107,wm_rh_G_and_S_cingul-Mid-Ant
14108,wm_rh_G_and_S_cingul-Mid-Post
14109,wm_rh_G_cingul-Post-dorsal
14110,wm_rh_G_cingul-Post-ventral
14111,wm_rh_G_cuneus
14112,wm_rh_G_front_inf-Opercular
14113,wm_rh_G_front_inf-Orbital
14114,wm_rh_G_front_inf-Triangul
14115,wm_rh_G_front_middle
14116,wm_rh_G_front_sup
14117,wm_rh_G_Ins_lg_and_S_cent_ins
14118,wm_rh_G_insular_short
14119,wm_rh_G_occipital_middle
14120,wm_rh_G_occipital_sup
14121,wm_rh_G_oc-temp_lat-fusifor
14122,wm_rh_G_oc-temp_med-Lingual
14123,wm_rh_G_oc-temp_med-Parahip
14124,wm_rh_G_orbital
14125,wm_rh_G_pariet_inf-Angular
14126,wm_rh_G_pariet_inf-Supramar
14127,wm_rh_G_parietal_sup
14128,wm_rh_G_postcentral
14129,wm_rh_G_precentral
14130,wm_rh_G_precuneus
14131,wm_rh_G_rectus
14132,wm_rh_G_subcallosal
14133,wm_rh_G_temp_sup-G_T_transv
14134,wm_rh_G_temp_sup-Lateral
14135,wm_rh_G_temp_sup-Plan_polar
14136,wm_rh_G_temp_sup-Plan_tempo
14137,wm_rh_G_temporal_inf
14138,wm_rh_G_temporal_middle
14139,wm_rh_Lat_Fis-ant-Horizont
14140,wm_rh_Lat_Fis-ant-Vertical
14141,wm_rh_Lat_Fis-post
14142,wm_rh_Medial_wall
14143,wm_rh_Pole_occipital
14144,wm_rh_Pole_temporal
14145,wm_rh_S_calcarine
14146,wm_rh_S_central
14147,wm_rh_S_cingul-Marginalis
14148,wm_rh_S_circular_insula_ant
14149,wm_rh_S_circular_insula_inf
14150,wm_rh_S_circular_insula_sup
14151,wm_rh_S_collat_transv_ant
14152,wm_rh_S_collat_transv_post
14153,wm_rh_S_front_inf
14154,wm_rh_S_front_middle
14155,wm_rh_S_front_sup
14156,wm_rh_S_interm_prim-Jensen
14157,wm_rh_S_intrapariet_and_P_trans
14158,wm_rh_S_oc_middle_and_Lunatus
14159,wm_rh_S_oc_sup_and_transversal
14160,wm_rh_S_occipital_ant
14161,wm_rh_S_oc-temp_lat
14162,wm_rh_S_oc-temp_med_and_Lingual
14163,wm_rh_S_orbital_lateral
14164,wm_rh_S_orbital_med-olfact
14165,wm_rh_S_orbital-H_Shaped
14166,wm_rh_S_parieto_occipital
14167,wm_rh_S_pericallosal
14168,wm_rh_S_postcentral
14169,wm_rh_S_precentral-inf-part
14170,wm_rh_S_precentral-sup-part
14171,wm_rh_S_suborbital
14172,wm_rh_S_subparietal
14173,wm_rh_S_temporal_inf
14174,wm_rh_S_temporal_sup
14175,wm_rh_S_temporal_transverse
